Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Colombia,15.16005962,15.32835091,15.49542283,15.66127258,15.82594802,15.98945568,16.15180472,16.31305899,16.47317865,16.63217499,16.79012145,16.94703883,17.1028812,17.25773154,17.41161543,17.5644759,17.71633204,17.86728223,18.01735351,18.16657441,18.31487836,,
Costa Rica,38.85099432,38.62663605,38.39468692,38.15527017,37.90850103,37.65452496,37.39354309,37.12573148,36.4355323,35.77657392,35.12155593,34.47217035,33.83103036,33.23163572,32.65021912,32.08354676,31.53311961,31.00045795,30.48677697,30.33322335,30.20443582,,
Cuba,40.36630366,40.22396538,40.08200834,39.95512326,39.84334331,39.53911216,39.2308363,38.91853778,38.60224872,38.28220647,37.95822131,37.79736744,37.64129587,37.49970725,37.36530044,37.23542419,37.1105788,36.98810077,36.86822005,36.75134752,36.63753199,,
Cyprus,76.13447379,76.17387116,76.14944966,76.19497826,76.2406969,76.28757673,76.33498189,76.38323768,76.43232884,76.48196428,76.53244972,76.58348614,76.63537909,76.69428457,76.75914525,76.83065699,76.90836255,76.99207458,77.08134013,77.07995022,77.08440429,,
Czechia,66.95266479,67.38589186,67.81906362,68.25223786,69.29846462,70.35242518,71.41411958,72.56575993,73.76434957,74.97167173,76.18771716,77.41249287,78.64588811,79.88790368,80.53239683,81.31649548,82.45525534,83.60172238,84.22884504,84.71664179,85.2044177,,
Germany,95.79906423,95.81332596,95.82752079,95.84164588,95.93242679,96.02317376,96.11381657,96.20450442,96.29508283,96.38563061,96.47614557,96.56662709,96.64418546,96.72174779,96.79930775,96.87687416,96.95542656,97.03491046,97.11539497,97.11994168,97.12541087,,
Djibouti,24.85121412,24.85958539,24.86795846,24.87632973,24.88470047,25.70526919,26.52365326,27.33966721,28.15330048,28.96435636,29.77494809,30.58511912,31.39471353,32.20396651,33.0125062,33.82096425,34.62876351,35.43612633,36.24306807,37.04960313,37.08001591,,
Denmark,86.80214187,86.80214056,86.80213909,86.80213981,86.80213797,86.80213806,86.80213609,86.8021387,87.25315654,87.70534319,88.1587008,88.61322378,89.06891755,89.52578015,89.98381156,90.44301167,90.90338049,91.36491906,91.65793228,91.8892027,91.88920329,,
Algeria,21.51471989,21.35186836,21.18795411,21.02308991,20.85728758,20.69066582,20.52313972,20.3548293,20.1856446,20.01637628,19.84678822,19.67709013,19.44541349,19.21417987,18.98335316,18.75313209,18.52347293,18.29457734,18.06639486,17.8390633,17.6125897,,
East Asia & Pacific (excluding high income),17.27749792,17.67806423,18.50698769,20.38219778,22.38999916,24.53033278,26.78285508,29.18240993,31.70259821,34.3237675,37.05976166,39.88327919,42.7953034,45.80077793,48.89772171,52.07893303,55.34453861,58.70105102,62.12323177,65.33638787,66.80174682,,
